iata_code,icao_code,name,country
,AEZ,"Aerial Transit","United States"
,AFA,"Alfa Air","Czech Republic"
WK,AFB,"American Falcon",Argentina
QQ,UTY,"Alliance Airlines",Australia
,UVS,"Air Universal","Sierra Leone"
,UVT,"Auvia Air",Indonesia
,AFC,"African West Air",Senegal
,AFE,"Airfast Indonesia",Indonesia
FG,AFG,"Ariana Afghan Airlines",Afghanistan
RV*,AFI,Africaone,"The Gambia"
Y2,AFJ,"Alliance Air",Uganda
,AFK,"Africa Air Links","Sierra Leone"
SU,AFL,"Aeroflot Russian Airlines",Russia
,AFO,"Aero Empresa Mexicana",Mexico
,AFQ,"Alba Servizi Aerotrasporti",Italy
5Z,AFX,"Airfreight Express","United Kingdom"
,AFY,"Africa Chartered Services",Nigeria
,AFZ,"Africa Freight Services",Zambia
,AGC,"Arab Agricultural Aviation Company",Egypt
,AGF,"Atlantic Gulf Airlines","United States"
5D,SLI,"Aeroméxico Connect",Mexico
,AGG,"Algoma Airways",Canada
,AGH,Altagna,France
,AGO,"Angola Air Charter",Angola
,AGP,"AERFI Group",Ireland
,AGQ,Aerogala,Chile
1A,AGT,"Amadeus IT Group",Spain
,AGU,"Angara Airlines",Russia
,AGW,"Aero Gambia",Gambia
JJ,AGX,Aviogenex,Serbia
,BLR,"Atlantic Coast Airlines","United States"
,BLZ,"Aero Barloz",Mexico
PL,PLI,Aeroperú,Peru
8A,BMM,"Atlas Blue",Morocco
,BNB,"Aero Banobras",Mexico
,AGY,"Aero Flight Service","United States"
,AGZ,Agrolet-Mci,Slovakia
GD,AHA,"Air Alpha Greenland",Denmark
,AHC,"Azal Avia Cargo",Azerbaijan
,AHE,"Airport Helicopter Basel, Muller & Co.",Switzerland
,CJE,"Aeroservices Corporate",France
,AHF,"Aspen Helicopters","United States"
,AHG,"Aerochago Airlines","Dominican Republic"
,AHH,"Airplanes Holdings",Ireland
,AHP,Aerochiapas,Mexico
,AHU,"ABC Air Hungary",Hungary
HT,AHW,Aeromist-Kharkiv,Ukraine
J2,AHY,"Azerbaijan Airlines",Azerbaijan
U3,AIA,Avies,Estonia
4Y,AIB,"Airbus Industrie",France
,AIH,"Air Incheon","South Korea"
RS,ASV,"Air Seoul","South Korea"
,AIK,"African Airlines International Limited",Kenya
,AIN,"African International Airways",Swaziland
5A,AIP,"Alpine Air Express","United States"
,AIU,"Alicante Internacional Airlines",Spain
,ABP,"ABS Jets","Czech Republic"
ED*,ABQ,Airblue,Pakistan
,THM,"Airmark Aviation",Thailand
,AIR,"Airlift International","United States"
,AIT,Airest,Estonia
,AIV,"Airvias S/A Linhas Aéreas",Brazil
W4,BES,"Aero Services Executive",France
,AIW,"Atlantic Island Airways",Canada
,AIX,"Aircruising Australia",Australia
,AIY,"Aircrew Check and Training Australia",Australia
IZ,AIZ,"Arkia Israel Airlines",Israel
,AJA,"Afghan Jet International Airlines",Afghanistan
,AJB,"Aero JBR",Mexico
,AJE,"Aero Jet Express",Mexico
,AJF,"Avia Consult Flugbetriebs",Austria
,AJI,"Ameristar Jet Charter","United States"
,AJK,"Allied Air",Nigeria
,AJO,"Aero Ejecutivo",Mexico
,AJP,"Aero Jets Corporativos",Mexico
,AJS,"Aeroejecutivos Colombia",Colombia
M6,AJT,"Amerijet International","United States"
,AJV,"ANA & JP Express",Japan
,AJW,"Alpha Jet International","United States"
,AJY,AJet,Cyprus
,AKB,Aktjubavia,Kazakhstan
,AKC,"Arca Aerovías Colombianas Ltda.",Colombia
,AKF,"Anikay Air Company",Kyrgyzstan
,AKH,Akhal,Turkmenistan
,MNI,Aeromilenio,Mexico
,AKK,"Aklak Air",Canada
4A,AKL,"Air Kiribati",Kiribati
,AKN,"Alkan Air",Canada
,AKW,"Angkor Airways",Cambodia
,AKZ,"AK Navigator LLC",Kazakhstan
,ALB,"Aero Albatros",Mexico
,ALD,"Albion Aviation","United Kingdom"
,ALE,"Aeroalas Colombia",Colombia
,ALF,"Allied Command Europe (Mobile Force)",Belgium
,BTS,"Aerotaxis Albatros",Mexico
,FYS,"American Flyers","United States"
,DFA,"Aero Coach Aviation","United States"
EV,ASQ,"Atlantic Southeast Airlines","United States"
,BVR,"ACM Air Charter",Germany
,ALG,"Air Logistics","United States"
,ALL,Aerovallarta,Mexico
HP,AWE,"America West Airlines","United States"
,TNO,"Aerotransporte de Carga Union",Mexico
,TND,"Aero Taxis Cessna",Mexico
,TMP,"Arizona Express Airlines","United States"
,ALO,"Allegheny Commuter Airlines","United States"
,ALP,"Allpoints Jet",China
,ALQ,"Altair Aviation (1986)",Canada
VH,ALV,"Aeropostal Alas de Venezuela",Venezuela
,ALW,"Alas Nacionales, S.A.","Dominican Republic"
,ALY,"Alyeska Air Service","United States"
,ALZ,"Alta Flights (Charters) Ltd.",Canada
,AMA,ATMA,Kazakhstan
,AMD,"Aerolíneas Medellín",Colombia
,AMF,Ameriflight,"United States"
,AMH,"Alan Mann Helicopters Ltd.","United Kingdom"
,AMJ,"Aviation Amos",Canada
,AMK,"Amerer Air",Austria
,AMM,"Aeroputul International Marculesti",Moldova
,AMP,"Aero Transporte S.A. (ATSA)",Peru
,AMQ,"Aeromedicare Ltd.","United Kingdom"
TZ,AMT,"ATA Airlines","United States"
,AMV,"AMC Airlines",Egypt
AM,AMX,Aeroméxico,Mexico
,AMZ,"Amiya Airline",Nigeria
,ANC,"Anglo Cargo","United Kingdom"
,BRP,AeroBratsk,Russia
,ANH,"Alajnihah for Air Transport",Libya
,ANM,"Aerotransportacion de Norteamerica",Mexico
TL,ANO,Airnorth,Australia
,ANQ,"Aerolínea de Antioquia",Colombia
OY,ANS,"Andes Líneas Aéreas",Argentina
IW,AOM,"AOM French Airlines",France
,ANW,"Aviación Del Noroeste, S.A. de C.V.",Mexico
,SAP,"Avia Jaynar",Kazakhstan
,EMS,"Aero Servicios Empresariales",Mexico
,AOA,"Alcon Servicios Aéreos, S.A. de C.V.",Mexico
J6,AOC,AVCOM,Russia
,AOD,"Aero Vodochody","Czech Republic"
,AOF,"Atair Pty Ltd.","South Africa"
2D,AOG,"Aero VIP",Argentina
,MUN,"Aeromundo Ejecutivo",Mexico
,MUR,"Aerolínea Muri",Mexico
,AOI,"Astoria, Inc.",Canada
,NRO,"Aero Rent JSC",Russia
,NRP,Aeronord-Grup,Moldova
,AOK,"Aeroatlantico Colombia",Colombia
,AOL,"Angkor Airlines",Cambodia
,AON,"Aero Entreprise",France
,AOO,"As, Opened Joint Stock Company",Ukraine
,AOP,Aeropiloto,Portugal
VB,VIV,"Aeroenlaces Nacionales",Mexico
,VIZ,"Aerovis Airlines",Ukraine
,VJE,"AvJet Routing","United Arab Emirates"
,VGF,"Aerovista Gulf Express","United Arab Emirates"
,VER,Almaver,Mexico
,AOR,"Afro International Ent. Limited",Nigeria
,SMX,"Alitalia Express",Italy
OE,AOT,"Asia Overnight Express",Philippines
,AOV,"Aero Vision",France
,AOX,"Aerotaxi Del Valle",Colombia
,APC,"Airpac Airlines, Inc.","United States"
,SVM,"Aeroservicios Monterrey",Mexico
,APF,"Amapola Flyg AB",Sweden
,APH,"Alpha Aviation, Inc.","United States"
,API,"ASA Pesada, Lda.",Angola
,APJ,"Peach Aviation",Japan
,PET,"Aerotransporte Petrolero",Colombia
GV,ARF,"Aero Flight",Germany
,BJT,"ACM Aviation","United States"
,BKL,"Aircompany Barcol",Russia
,BLA,"All Charter Limited","United Kingdom"
,APL,"Appalachian Flying Service, Inc.","United States"
,APM,"Airpac, Inc.","United States"
,APO,Aeropro,Canada
,APP,"Aerolíneas Pacífico Atlántico, S.A. (Apair)",Panama
,APQ,"Aspen Aviation","United States"
,APU,"Aeropuma, S.A.","El Salvador"
JW,APW,"Arrow Air","United States"
,APX,"Apex Air Cargo","United States"
,APY,"APA Internacional","Dominican Republic"
,AQA,"Aeroatlas, S.A.",Colombia
,AQL,"Aquila Air Ltd.",Canada
,AQO,"Aluminum Company Of America","United States"
,AQT,"Aviones de Renta de Quintana Roo, S.A. de C.V.",Mexico
,AQU,"AirQuarius Aviation","South Africa"
,AQZ,"Aerodyne Charter Company","United States"
,ARA,"Arik Air",Nigeria
,ARB,"Avia Air N.V.",Aruba
4C,ARE,"Aires, Aerovías de Integración Regional, S.A.",Colombia
AR,ARG,"Aerolíneas Argentinas",Argentina
,ARI,"Aero Vics",Mexico
,ARJ,"Aerojet de Costa Rica, S.A.","Costa Rica"
,SUN,"Antillana De Navegación Aérea","Dominican Republic"
,SUO,"Aeroservicios De San Luis",Mexico
,ARK,"Aero Link Air Services S.L.",Spain
,ARL,"Airlec - Air Aquitaine Transport",France
,ARM,"Aeromarket Express",Spain
,ARO,"Arrow Aviation Ltd.",Canada
,KLD,"Air Klaipėda",Lithuania
,ARQ,"Armstrong Air, Inc.",Canada
,ARS,"Aeromet Servicios",Chile
,ART,"Aerotal Aerolíneas Territoriales de Colombia Ltda.",Colombia
,ARV,"Aravco Ltd.","United Kingdom"
,ARW,Aria,France
,OST,"Airline Alania",Russia
,HUC,"Aerolíneas de Techuacán",Mexico
,HUT,"Aerotransportes Huitzilin",Mexico
,HUY,"Aero Transportes Del Humaya",Mexico
,ARY,"Argosy Airways","United States"
AS,ASA,"Alaska Airlines, Inc.","United States"
PL,ASE,Airstars,Russia
,ASG,"African Star Airways (PTY) Ltd.","South Africa"
,ASI,"Aerosun International, Inc.","United States"
,ASM,"Awesome Flight Services (PTY) Ltd.","South Africa"
,ASO,"Aero Slovakia",Slovakia
,ASP,Airsprint,Canada
,AST,"Aerolíneas Del Oeste",Mexico
,NRE,"Aviones Are",Mexico
,WAP,"Arrow Panama",Panama
OB,ASZ,"Astrakhan Airlines",Russia
,ATB,"Atlantair Ltd.",Canada
,ATD,"Aerotours Dominicana","Dominican Republic"
,ATE,"Atlantis Transportation Services, Ltd.",Canada
,ATG,Aerotranscargo[6],Moldova
HC,ATI,"Aero-Tropics Air Services",Australia
,ATK,AeroTACA,Colombia
FO,ATM,"Airlines of Tasmania",Australia
,CPV,"Air Corporate",Italy
,ATP,"ASTRAL Colombia - Aerotransportes Especiales Ltda.",Colombia
,FEO,Aeroferinco,Mexico
,FES,"Aero Taxis Y Servicios Alfe",Mexico
,FFA,Avialesookhrana,Russia
,FFB,"Africair Service",Senegal
,ATR,"Atlas Airlines","United States"
,ATU,"Atlant Aerobatics Ltd.",Hungary
,ATV,"Avanti Air",Germany
OS,AUA,"Austrian Airlines",Austria
IQ,AUB,"Augsburg Airways",Germany
,TUP,Aviastar-Tu,Russia
RU,ABW,"AirBridge Cargo",Russia
,TUR,ATUR,Ecuador
,TXU,"ATESA Aerotaxis Ecuatorianos",Ecuador
,TXX,"Austin Express","United States"
,AUD,"Audi Air, Inc.","United States"
,AUF,"Augusta Air Luftfahrtunternehmen",Germany
MO,AUH,"Abu Dhabi Amiri Flight","United Arab Emirates"
,AUM,"Air Atlantic Uruguay",Uruguay
,AUN,"Aviones Unidos",Mexico
,AUP,"Avia Business Group",Russia
,SVE,"Aero Servicios Expecializados",Mexico
GR,AUR,"Aurigny Air Services","United Kingdom"
NO,AUS,Aus-Air,Australia
AU,AUT,"Austral Líneas Aéreas",Argentina
,AUU,"Aurora Aviation, Inc.","United States"
,AUY,"Aerolíneas Uruguayas, S.A.",Uruguay
AO,AUZ,"Australian Airlines",Australia
AV,AVA,Avianca,Colombia
A0,MCJ,"Avianca Argentina",Argentina
O6,ONE,"Avianca Brasil",Brazil
,AVB,"Aviation Beauport","United Kingdom"
,AVF,"Aviair Aviation Ltd.",Canada
,AVH,"AV8 Helicopters","United Kingdom"
,AVJ,"Avia Traffic Company",Kyrgyzstan
,AVK,"AV8 Helicopters","South Africa"
,AVM,"Aviación Ejecutiva Mexicana, S.A.",Mexico
,AVO,"Aviation at Work","South Africa"
,AVP,"Avcorp Registrations","United Kingdom"
,LFP,"Alfa Aerospace",Australia
,LFR,"Atlantic Airfreight Aviation","São Tomé and Príncipe"
,LFT,"Aerolift Company","Sierra Leone"
,AVQ,"Aviation Services, Inc.","United States"
,AVR,"Active Aero Charter, Inc.","United States"
,AVS,"Avialsa T-35",Spain
,AVT,"Asia Avia Airlines",Indonesia
,AVU,"Avia Sud Aérotaxi",France
,AVV,"Airvantage Incorporated","United States"
,AVW,"Aviator Airways",Greece
,AVX,Aviapaslauga,Lithuania
,XXX,"ASL (Air Service Liege)",Belgium
,YRG,"Air Yugoslavia",Serbia
K8,ZAK,"Airlink Zambia",Zambia
,ZZM,"Agence Nationale des Aerodromes et de la Meteorologie","Ivory Coast"
4Y,BGA,"Airbus Transport International",France
B9,BGD,"Air Bangladesh",Bangladesh
,BGF,Aviodetachment-28,Bulgaria
,BGG,"Aero BG",Mexico
,BHC,"Aerotaxis De La Bahia",Mexico
,BIV,Aviaservice,Georgia
,SZA,"Aerolíneas de El Salvador","El Salvador"
,AVY,"Aerovaradero, S.A.",Cuba
,AWB,"Airways International, Inc.","United States"
,AWK,Airwork,"New Zealand"
,AWO,"Awood Air Ltd.",Canada
,AWR,"Arctic Wings And Rotors Ltd.",Canada
,ISM,"Auo Airclub AIST-M",Russia
,AWS,"Arab Wings",Jordan
,AWV,"Airwave Transport, Inc.",Canada
,AWY,"Aeroway, S.L.",Spain
HJ,AXF,"Asian Express Airlines",Australia
,AXH,Aeromexhaga,Mexico
,AXI,"Aeron International Airlines, Inc.","United States"
,AXK,"African Express Airways",Kenya
AK,AXM,AirAsia,Malaysia
D7,XAX,"AirAsia X",Malaysia
DJ,WAJ,"AirAsia Japan",Japan
I5,IAD,"AirAsia India",India
,AXN,Alexandair,Greece
,AXP,Aeromax,Spain
,AXQ,"Action Airlines (Action Air Charter)","United States"
,BNI,"Alberni Airways",Canada
,BNZ,"Aerolíneas Bonanza",Mexico
,BOC,Aerobona,Mexico
,BOI,"Aboitiz Air",Philippines
,AXR,"Axel Rent, S.A.",Mexico
,AXS,"Altus Airlines","United States"
,AXV,Aviaxess,France
,AXX,"Avioimpex A.D.p.o.",Macedonia
,AYD,"Aladia Airlines",Mexico
,AYK,"Aykavia Aircompany",Armenia
,AYM,"Airman, S.L.",Spain
,NPT,"West Atlantic UK","United Kingdom"
,GBN,"Atlantic Airlines",Gabon
EX,BJK,"Atlantic Airlines","United States"
,HHA,"Atlantic Airlines de Honduras",Honduras
,AYN,"Atlantic Airlines, S.A.",Nicaragua
,AYS,"Awsaj Aviation Services",Libya
,AYT,"Ayeet Aviation & Tourism",Israel
3G,AYZ,"Atlant-Soyuz Airlines",Russia
AZ,AZA,Alitalia,Italy
